STOP_ID,AADT
17024,4982
17115,5887
17139,27889
17230,6435
17368,8015
17391,8015
17418,2167
18005,15278
17018,9607
17023,14574
17025,10035
17026,10035
17031,2497
17041,4060
17048,341
17059,2167
17061,818
17062,341
17073,8539
17085,10035
17094,4060
17095,928
17099,8015
17104,8539
17113,9607
17118,8015
17125,341
17129,4060
17149,818
17156,3193
17160,728
17164,928
17169,2497
17172,4060
17177,928
17191,3244
17199,32318
17220,341
17231,8015
17234,8583
17237,9607
17243,818
17276,818
17283,14574
17291,4982
17323,29653
17328,341
17330,14574
17354,818
17364,3193
17365,3244
17376,4060
17385,14574
17396,9607
17397,10035
17402,8539
17414,6435
17426,5887
17455,8539
17465,8583
17467,4982
18004,4670
17120,29653
17167,4982
17263,2497
17348,2497
18007,4670
17001,9511
17006,804
17011,2615
17019,1737
17027,4292
17042,4292
17046,2615
17053,279
17056,804
17057,2615
17065,6440
17072,1737
17136,2615
17138,321
17150,4292
17165,2615
17181,1737
17227,4292
17236,321
17245,12639
17249,321
17256,804
17259,12639
17261,5343
17302,1737
17309,1737
17310,1737
17318,804
17332,12639
17333,1737
17336,804
17338,12639
17339,2615
17347,2615
17351,279
17353,5343
17357,6440
17362,6723
17372,279
17374,9511
17380,2615
17381,804
17395,321
17409,279
17411,6723
17413,279
17429,12639
17436,1737
17447,9511
17449,321
17466,12639
17083,11698
17239,8874
17294,8874
17327,8874
17379,8874
17007,5619
17015,8874
17050,5250
17063,1316
17102,7498
17127,20582
17130,7488
17141,1816
17157,7498
17200,8874
17205,1816
17226,7488
17229,1316
17275,8874
17289,7498
17290,2000
17303,1816
17314,7498
17359,1316
17366,8874
17420,7498
17423,1316
17439,7488
17452,5250
17009,1193
17016,2331
17035,2169
17101,1957
17133,2331
17147,2331
17148,7559
17151,2169
17170,1157
17173,3345
17185,2331
17192,1957
17208,1607
17214,2958
17215,1152
17217,3345
17246,2169
17251,3908
17262,3908
17271,5692
17282,2169
17285,3345
17319,3345
17326,3345
17342,2185
17344,1957
17349,2958
17363,2331
17370,2169
17394,1957
17398,3908
17399,2185
17416,5692
17417,2958
17422,1152
17444,3345
17446,2169
17450,1846
17464,7559
18009,2185
17437,15278
17022,2414
17033,2414
17039,3770
17079,5372
17112,13577
17114,746
17122,2414
17137,13577
17163,3770
17204,11253
17219,13003
17228,2414
17241,13577
17280,13865
17325,2414
17358,13003
17388,1710
17049,2414
17080,13577
17098,13003
17155,13865
17161,2414
17168,2414
17201,1710
17202,3770
17265,11253
17279,13003
17296,2414
17315,13577
17322,13865
17337,4637
17361,2414
17371,7082
17404,5372
17412,13577
17432,5295
17443,1710
17456,13003
17468,13865
17005,2932
17071,1499
17111,5295
17131,21053
17187,4297
17197,7015
17235,5295
17266,4375
17267,21587
17272,141
17277,7082
17288,5295
17293,5295
17295,4297
17300,5295
17317,141
17335,4297
17356,5295
17407,5295
17410,2932
17419,4375
17427,1633
17021,13958
17090,15469
17093,19671
17096,15469
17110,15469
17117,4398
17119,19671
17142,2557
17162,15469
17171,2557
17188,27081
17194,2557
17206,18524
17222,3872
17232,13958
17242,19671
17281,13958
17286,27081
17297,2557
17304,2557
17305,4398
17340,2557
17425,18524
17430,13958
17014,15694
17100,15694
17189,12185
17346,20582
18008,15694
18010,4172
17013,12185
17390,15694
17451,20030
17453,15694
18003,15694
17350,11099
17377,11099
17428,20030
17037,15552
17043,24415
17075,10691
17086,10691
17132,24415
17135,11253
17144,5294
17145,24415
17159,4857
17183,4125
17186,9368
17190,9368
17203,9919
17218,11756
17268,1273
17287,11756
17298,5294
17387,24415
17401,5655
17457,9368
17474,1967
17044,11756
17128,4125
17158,5294
17184,11756
17207,1273
17209,11253
17221,9368
17255,9919
17257,9368
17269,9368
17316,2514
17355,10691
17386,5294
17408,10691
17424,9368
17244,694
17306,5655
17421,17984
17143,5655
17448,5655
17166,5655
17247,5655
17081,15777
17175,5655
17389,5871
17030,12418
17034,12418
17052,11099
17084,12418
17174,13882
17278,12418
17301,13882
17441,12418
17445,12418
17483,30759
17068,3832
17334,13882
17017,2514
17032,9729
17055,20163
17088,20163
17091,6519
17123,3908
17140,7811
17152,3908
17252,7811
17253,3126
17311,3126
17312,3908
17431,3908
17438,3689
17440,2514
17442,4670
17458,5559
17463,2327
17470,2327
17010,3908
17036,9729
17045,6519
17070,6993
17077,20163
17106,3908
17121,5559
17124,7194
17212,20163
17233,7811
17270,7194
17329,4670
17331,7811
17360,3689
17373,3908
17400,3908
17434,20163
17460,4670
17462,2327
17471,2327
17116,29653
17254,15101
17284,11800
17459,15101
17097,14142
17384,15101
18017,18133
17153,18133
17198,29653
18014,18133
18016,23736
18020,8797
17038,8797
17064,6669
17074,10779
17089,10779
17154,8910
17193,8910
17196,10779
17211,6669
17225,8910
17345,6669
17012,6669
17066,6993
17069,6669
17108,10779
17146,8910
17176,3376
17224,11099
17292,6993
17299,8910
17313,10779
17341,7194
17403,6669
17435,8910
17051,31163
17058,5747
17060,3126
17216,27081
17274,5365
17008,4926
17105,4926
17109,4926
17020,4926
17223,4926
17392,4926
17481,10779
17433,10779
17378,5747
17475,3832
17273,5747
17126,2137
17454,6599
17213,6599
17240,893
17195,15278
